Glossary-EN,Description,Related Glossary
Keypress Prompt,"An instruction prompt for the customer to follow (e.g. ""To speak with our Sales Representative, press 1. To reach our Billing Department, press 2. If you would like to speak with our Technical Support, press 3…"")",
Labels,These are words or combinations of words that the staff can use to add more context and categorise an enquiry or a contact.,
Link Preview,"A CINNOX chat feature lets Staff members view the link with an image, title, description, and more to provide contextual information.",
Local Number,"A telephone service that lets visitors directly contact a business by dialling a specific, local phone number. Also known as direct inward dialling (DID) number.",
Loopback Enquiry Transfer,"Allows you to quickly pass an ongoing chat enquiry to another staff agent or tag. This transfer happens instantly and ensures efficient handling of the enquiry. If the assigned agent or tag doesn't respond, the enquiry will return to you for further assistance.",
Marketplace,The Marketplace is the station for staff license and plan upgrades of your CINNOX current subscription.,
Markdown Syntax,"Are formatting elements such as headings, lists, bold and italic text, links, images, and code blocks to your text supported by CINNOX.",
Manage Device,A section in My Account that lets Staff members view and manage all the devices and browsers their CINNOX service is currently logged in to.,
Member's Copy message,A CINNOX chat feature that lets Staff members copy a posted message in the chat room.,
Menu Routing Numbers,These are virtual dummy numbers used for routing rules and destinations of your menus.,
Merge Contacts,"A method of joining contact records with another, merging contacts is usually performed for duplicate contacts with the same profile.",
Merged Rooms View,Refers to the merged contacts enquiries combined and viewed in just one chatroom.,
Monitor Enquiry,The admin can open the enquiry chat room and view the ongoing conversation between the agent and visitor. The admin can then join or take over the conversation to help resolve the visitor's query.,
Mute,A feature that lets callers turn their microphones off so other listeners won't hear them.,
My Account,A section in the CINNOX Dashboard or App lets Staff members view and manage their personal information and device or app settings.,
My Plan,A section in the CINNOX Dashboard that lets administrators monitor their usage of the features available in their Service Plan.,
My Sites,A section in the CINNOX Dashboard where administrators can register and whitelist (allowlist) website domains where the CINNOX Widget can be installed and used.,
Never Expired Sticky Routing,Refers to the option in the Sticky Routing Settings for the Virtual Number and Email Channels to keep the binding last between a customer and staff.,
Noise Reduction,It is a function in CINNOX that reduces background noise and echo during the call.,
Notification,A message is displayed to get a user's attention. CINNOX typically sends Staff members notifications whenever a visitor or another member calls or sends them a chat message.,
Number,"May refer to a Virtual Number, a Service Number or a Personal Number associated with your service.",
Number Display Name,The display name a Staff can assign to a virtual or service number.,
Number & IP Allowlist,The visitor phone numbers and IP addresses list allows you to contact a company using CINNOX. Enquiries that do not use these numbers or addresses will be automatically closed.,
Number & IP Blocklist,The list of visitor phone numbers and IP addresses that are not allowed to contact a company using CINNOX. Enquiries that use these numbers or addresses will be automatically closed.,
Number Porting,Transfer your existing number to another carrier partner of CINNOX to use the service on your CINNOX account.,
Number Type (TF/DID),This specifies whether the allocated number is a toll-free (TF) or direct inward dial (DID) number.,
Offline Support Form,"A Visitor Form that CINNOX displays whenever Staff members cannot pick up a visitor enquiry from the Widget, Web link, or QR Code in time.",
Offline provisioning,The process of creating or modifying accounts or services without an active network connection.,
Omnichannel,"A cross-channel service strategy that lets organisations use social media channels and messaging apps as customer touchpoints. In CINNOX, Omnichannel is a feature that enables administrators to link third-party channels, such as social media pages, into the service so that staff members can attend to enquiries from those pages directly from their CINNOX Dashboard or App.",
Ongoing Enquiry,An enquiry that a Staff member is currently attending to.,
Open Enquiry,"An enquiry that is in the queue, waiting to be picked up by a Staff member.",
OpenAI API Key,"A secret key generated within an OpenAI account, used to establish a connection between OpenAI's AI engine and CINNOX to facilitate data exchange and integration.",
Outbound Call Routing Rules,These rules specify how to route outbound calls using CINNOX's telephony infrastructure.,
Outbound SMS,"Refers to the SMS sent to your customers through CINNOX. View its details in the SMS Report by selecting ""Direct SMS"", ""Verification"", ""Open API - Direct"", or ""Open API - Verification"" as a source.",
Own Email Server,"Use your email domain to reply to customers, e.g. [email protected], preserving your company branding.",
Passcode,An authentication method that uses a string of numeric characters. Staff members can enable and create a six-digit passcode in the CINNOX App to prevent unauthorised access to their or their customers' data.,
Payload,"It is used when your channel is configured with a chatbot, and you want to trigger different chatbot flows or actions based on the buttons your visitors have clicked. You can trigger your chatbot by entering a text as the button name. The Payload value will be sent to the chatbot when the Payload field is not empty. Otherwise, the button name will be sent to the chatbot.",
Percentage Routing,A type of routing rule that distributes incoming enquiries at percentage value.,
Permissions,"The access rights of a user to computing features and data. CINNOX's available permissions for Staff members are: Enabled, View, Edit, Download, Delete, and Approve. Permissions are tied to Roles.",
Personal Canned Response,"All staff can add, view, update and delete their responses. It's for individual staff use only.",
Personal Number,"Staff members can use a verified personal number as a Caller ID when making outbound calls to their visitors, customers, and fellow Staff members.",
Personal QR Code,A QR code associated with or owned by a specific Staff member. Scanning this QR code lets visitors send the Staff member a direct enquiry.,
Personal Web Link,A Web link that a specific Staff member owns. Clicking on this Web link lets visitors send the Staff member a direct enquiry.,
Pin Chat Room,It is pinning chat rooms and placing them on top of the Recent Chats.,
Pin Message,"It pins messages, places them on the Pinned Message List, and goes to the original message in the chat thread.",
Plan Monitoring,"A section in the CINNOX dashboard provides details and usage of the company's service subscription plan, including the breakdown of features provisioned and options to upgrade if needed.",
Public Canned Responses,"Admin and non-admin staff, with permission, can add, view, update and delete responses and share, among others.",
Pre-chat Form,A Visitor Form that CINNOX displays to first-time visitors when they click the Widget opens a Web link or scan a QR code.,
Private Message,A feature in an enquiry chat room that allows agents to communicate directly with each other without the customer being able to see the conversation.,
Prompt,IVR uses voice prompts to give callers instructions and directions for accessing information during the call.,
PSTN Number,A Destination endpoint in CINNOX that uses a telephone number associated with a phone line.,
QR Code,A QR Code associated with a Staff Account or channel. Scanning this QR code lets visitors send the Staff member or a channel an enquiry.,
Quick link,A text shortcut to channel and direct web links and service phone numbers. It helps to quickly insert the web link or phone number in the chatroom or campaign without memorising them.,
Quick Reply,"It is an advanced message type in CINNOX. Quick Reply appears as a set, listed horizontally, and each appears in its clickable bubble. When a quick reply button is clicked or tapped, the message is sent in the conversation, and all the other quick replies buttons disappear.",
Rate Table,"A section in the CINNOX Dashboard where administrators can check the call rates per minute for landline, mobile, and CINNOX calls and SMS rates per message for the supported locations.",
Receiver Country,"The call receiver (called party) country's IP address, available in the downloadable Call Report Details.",
Receiver Name,"The call receiver (called party) name, available in the downloadable Call Report Details.",
Receiver Number,"The number the staff uses to receive a call, available in the downloadable Call Report Details.",
Recall Message,A CINNOX chat feature that lets Staff members recall a message they have previously posted within five minutes.,
Red Dot Badge,This is an indicator that there are unread messages in a CINNOX chatroom. The badge will disappear after all messages have been read.,
Red Number Badge,"This is an indicator that there are unread chatrooms in CINNOX. When a Staff member goes into a chatroom and reads the unread messages in it, the badge will deduct the room from the unread room count. It will disappear after all chatrooms have been visited.",
Reply Message,A CINNOX chat feature that lets Staff members reply to a specific message. Also known as quote-reply.,
Restart Conversation,The capability to send a message to the visitor's WhatsApp enquiry even if the 24-hour conversation window has lapsed using the 360dialog WhatsApp Template Message.,
Retention Status,An indicator of where the data in CINNOX are in the backup and retention process.,
Return Visitor,An end-user who has previously sent enquiries using CINNOX or has had previous interactions with a CINNOX Staff member.,
Revoke submitted campaign,Stops the submitted campaign to be sent out. The revoked campaign will then be moved to the Draft Campaign list.,
Role,"A designation is given to a Staff member with a corresponding access level to CINNOX data. CINNOX has four default roles: Administrator, Manager, Team Leader, and Agent. Staff administrators can also create custom roles.",
Routing Instructions,"This refers to the specific routing instructions needed to handle inbound calls for each allocated number, including any technical details (such as protocols or codecs).",
Routing Number,This is the phone number that the customer's calls will be routed to when dialing the allocated number.,
Routing Rules,"A set of conditions that distribute incoming customer enquiries to preferred destinations. In CINNOX, routing rules can be based on volume percentage (Percentage Routing) or time of day (Time Routing). Routing rules are available for Directory, Virtual Numbers, and Omnichannel.",
Scheduled Conference,"The conference type lets the staff create a conference call with a future start and end date with calendar integration. It allows staff to share the conference link with the participants in the chat room or other channels. You can start the call anytime before the scheduled end time. You can send your scheduled call with Outlook, Google or other Calendars with an ICS file.",
Second Layer Routing (Time and Percentage Routing),Adding Time and Percentage Routing as the second layer in the Routing Rules Settings. Giving more flexibility to combine the % volume and time for the distribution of incoming enquiries,
Sender ID Allowlist,A list of Staff members who can use a service number as their SMS sender ID when sending SMS texts.,
Sent Campaigns,"It is a section in the Campaign that provides details of campaigns sent, like the Staff sender, sender ID, total recipients, dates and times sent, and whether the campaigns were successfully delivered.",
Service Number,A verified enterprise number that Staff members can use as a Caller ID when making outbound calls to their customers.,
SFTP,"SSH File Transfer Protocol is a network protocol that allows the access, transfer, and management of files over a secure data stream—also known as Secure File Transfer Protocol.",
SFTP Address,The SFTP server's IP address is where the archived data is backed up.,
SFTP Public Key,The SFTP server's authentication key so that it can automatically upload the archived data that will be backed up.,
SFTP User,"The user name will be used to log in to the SFTP server, where the archived data will be backed up.",
Share Screen,A video and conference call feature lets participants share their screen's contents.,
Shared Contact,An External Contact whose details have been shared by the Contact Owner with other Staff members.,
Short Key,It is the keyword added to each canned response for easy search and retrieval of canned responses in the chat room. Short Key must be unique and not duplicated with public and others' canned responses.,
SIP In,"Refers to the process of receiving or accepting a Session Initiation Protocol (SIP) call or session. SIP is a communications protocol used for initiating, maintaining, modifying, and terminating real-time sessions, such as voice and video calls over IP networks.",
Simultaneous Distribution,All available agents in the service group are alerted to an incoming enquiry. The first agent that picks up the enquiry will handle the visitor's query.,
SIP Trunk,A Destination endpoint in CINNOX that uses Session Initiation Protocol (SIP) trunking is a method of receiving calls through an IP-enabled private branch exchange (PBX).,
Smart Calling,CINNOX's auto-dialler feature lets users upload a list of phone numbers and automatically dial them sequentially.,
Smart Greeting,"A Widget feature that automatically displays a welcome message above the minimised CINNOX Widget, letting visitors know that they can use it to connect and interact with support Staff members through call or chat.",
SMS,"Short for ""Short Message Service"", is a messaging service in CINNOX that allows you to send or receive short text messages to mobile devices for 1:1 text messaging and broadcast campaigns.",
SMS Campaign,CINNOX's broadcast messaging feature lets you send messages to target audiences worldwide via SMS.,
SMS Recipient,The user or device that receives a message sent via SMS.,
SMS Report,"A report that monitors the number of SMS texts sent from the service. The report also details the SMS texts' status (i.e., undelivered, submitted, rejected) and the location where they were sent.",
SMS Sender ID,The phone number is displayed as the sender of an SMS text to the SMS recipient.,
SMS Sent Statuses,See SMS Report,
SMS Template,"A ready-made message SMS content that staff can use or insert in their campaigns. CINNOX lets you create or import Templates, so you don't have to compose messages from scratch every time you launch a campaign.",
Social Media,"Websites, applications, and other digital platforms let users build communities and networks to create and share information. In CINNOX, a Staff member can link social media accounts or pages to the service through the Omnichannel feature.",
Source,"A third-party account of Social Media and Messaging Apps linked to an Omnichannel such as a Facebook Page, LINE Official Account, WeChat Official Account and WhatsApp Business API.",
Space,CINNOX's internal group chat feature. Staff members can create a Public or Private Space to exchange messages and share files regularly.,
Speech-to-Text (STT),A type of assistive technology that helps convert speech into text. CINNOX uses STT powered by Google.,
Staff IP Login Allowlist,A CINNOX security feature that uses a Trusted IP Address List to limit the locations Staff members can log in to the CINNOX service.,
Staff Licence,A licence model based on the number of individual staff can create a CINNOX account to access the Dashboard and App.,
Staff List,A list of CINNOX Staff members can be endpoints for a Destination to attend to visitor and customer enquiries.,
Staff Member,An individual is appointed and authorised by the CINNOX service administrator to access and use the CINNOX Dashboard and App.,
Staff Number Allowlist,A CINNOX security feature that limits the phone numbers Staff members can use as their Caller IDs or SMS sender IDs.,
Staff Report,"A report that provides detailed information about the times of day that Staff members were active, busy, idle and offline.",
Sticky Binding,The relationship created between a visitor and a Staff member when Sticky Routing is enabled.,
Sticky Binding List,A list of visitors and the respective Staff members with whom they have a sticky binding.,
Sticky Routing,"Routing is based on the sticky binding established between a visitor and a specific agent, such that the next enquiry from the said visitor will be directly routed to the same agent.",
Storage,"The provisioned media file storage space for a CINNOX service. Images, videos, documents, voice messages, call recordings, and other files are kept in Storage, the limit of which depends on the Service Plan.",
Subdomain,"A subdomain is a unique identification to access your CINNOX service. i.e., example.cinnox.com",
Submitted Campaigns,"It is a section in the Campaign that provides details like Campaign Name, Channel, Staff Sender, etc., of campaigns submitted for approval, scheduled and implemented in progress.",
Supervised Dialler,Sequential dialling system that provides agents with contact information for effective customer interactions.,
Support Language,A Destination's supported languages. Only enquiries from these particular languages will be routed to the Destination Endpoint when specific languages are set to a Destination.,
Support Location,"A Destination's supported countries or territories are further drilled down to states and cities. When specific locations are set to a Destination, only enquiries from these particular locations will be routed to the Destination Endpoint.",
Suspended Staff Member,A Staff member whose access to CINNOX was temporarily revoked by the administrator. A suspended Staff member is still counted among the service's available staff licence.,
Tag,"A display label is listed in the CINNOX Widget's Directory. Tags are usually associated with business divisions or teams in a company, and they help website visitors identify which one they will have to contact.",
Tag QR Code,"A QR code associated with a Tag. When a visitor scans this QR code, CINNOX alerts and rings all Destination endpoints, such as Staff List, PSTN Phone, and SIP Trunk numbers associated with the Tag of the incoming enquiry.",
Tag Web Link,"A Web link associated with a Tag. When a visitor clicks on this Web link, CINNOX alerts and rings all Destination endpoints such as Staff List, PSTN Phone, and SIP Trunk number associated with the Tag of the incoming enquiry.",
Take Over Enquiry,"When monitoring the enquiry conversation between the agent and visitor, the admin can take over the enquiry and continue the conversation to resolve the visitor's query.",
Team,A feature in CINNOX lets Staff administrators group Staff members into different divisions or teams that may represent a company's actual organisational structure.,
Team Leader,A default role in CINNOX grants a Staff member access to all data in their team.,
Termination fee,The charge incurred for completing a phone call by connecting it to a recipient on a different telecommunications network.,
Text-to-speech (TTS),A type of assistive technology that helps read texts aloud and convert them into audio. CINNOX uses TTS powered by Google.,
TF (Toll Free) numbers,A type of phone number that allows callers to reach a business or individual without incurring long-distance charges.,
Third-Party Authentication,"The process of one entity (e.g., a user or a service) handing over authentication credentials to another. In CINNOX, Third-Party Authentication is a feature that lets Staff administrators link their service to Microsoft Active Directory (AD). Staff members can log in to CINNOX using their Microsoft AD account.",
Third-Party Channel,Any messaging app to connect to CINNOX via Webhook API allows your staff members to reply to messages through their CINNOX account.,
Timeout Prompt,If the visitor misses the time to press any key.,
Time Routing,A type of routing rule that distributes incoming enquiries using time allocation.,
Toll-free Number,"A number lets visitors and customers (callers) dial from a calling device free of charge. It is usually used by businesses that do not have a local presence where the calling party is located, also known as the freephone number.",
Traffic fee,The charge incurred for the usage of a telecommunications network during a phone call.,
Transcript File,"The output of the transcribed call recordings, voice notes/ voice messages and voicemails.",
Trunk or Gateway Information,This specifies the telephony resource that the Partner should use to route their outbound calls.,
Trusted IP Address List,The list of IP addresses Staff members need to connect to before they can log in to the CINNOX service.,
Two-factor Authentication,"An authentication process wherein users go through two layers of verification before being granted access to an account or a system. In CINNOX, if this feature is enabled, a Staff member must enter their password and a six-digit code generated by an authentication app before they can log in to the service.",
Unmute,A feature that lets callers turn their microphones on so other listeners can hear them.,
Unread Panel,A feature in the CINNOX App lets Staff members open enquiries or switch between chatrooms with unread messages without going back to the Utility tab.,
Urchin Tracking Module (UTM) Information,"It is a marketing analytics tool used to track and measure the effectiveness of various marketing campaigns and pieces of content. In CINNOX, you can add UTM parameters to the web link. See Chat Room for more details.",
Video call,A CINNOX feature that lets Staff members engage in video calls with visitors or fellow Staff members.,
Virtual Number,A telephone number without a directly associated telephone line. CINNOX can provide businesses with toll-free or local virtual numbers so customers can contact them at lower costs.,
Visitor,An end-user that visits a CINNOX user's website and makes an enquiry.,
Visitor Forms,Forms that gather preliminary information from visitors even before they interact with the Staff members. CINNOX has two types of Visitor Forms: the Pre-Chat Form and the Offline Support Form.,
Visitor Journey,A list of all activities and pages a visitor or External Contact made and visited on a website linked to the CINNOX service is found in the visitor's Profile details.,
Visitor Language,The designated language to which the agent's message is sent to the visitor will be automatically translated.,
Visitor Number and IP Blocklist/Allowlist,A CINNOX security feature that limits the visitors contacting a company by checking and filtering the phone numbers or IP addresses they use.,
Visitor Report,"A report that monitors the total number of new and active visitors, as well as their geographic locations.",
Voice call,A CINNOX feature that lets Staff members engage in audio calls with visitors or colleagues.,
Voicemail,A feature in CINNOX that lets visitors leave a voice message in cases when Staff members are unavailable to attend to their call enquiry.,
Voicemail Prompt,An audio prompt informs visitors to leave a message after the beep. Suitable when no one is available to receive the calls. It provides a 24-hour answering capability that agents can immediately follow up with the left messages.,
Voice Network services,"Refers to CINNOX's offerings related to voice communication over networks, including IDD termination.",
Voice Note (Voice Message),An audio clip or recording that staff members and visitors can make and send inside a CINNOX chatroom.,
Warm Call Transfer,A warm call transfer is when you speak with another staff agent to provide the customer's enquiry or call background before confirming the transfer of the customer's call.,
Waiting Prompt,Music plays when the visitors wait for an agent to accept the enquiry call,
Web link,A web link associated with the Staff Account or channel. Clicking on this web link lets visitors send the Staff member or a channel an enquiry.,
WeChat Channel,A WeChat Official Account linked to a CINNOX service. A CINNOX Staff member can handle messages from WeChat directly from their Workspace as omnichannel enquiries.,
WhatsApp Business API,It is a programmable API that allows businesses to broadcast & receive unlimited messages to global audiences and deliver better customer experiences on WhatsApp.,
WhatsApp Business Solution Provider (BSP),"BSPs are global third-party solution providers with expertise on the WhatsApp Business Platform. They help you to communicate with your customers for the approved use cases of customer support and time-sensitive, personalised notifications. CINNOX has partnered with the following BSPs: * 360dialog * Emma Global * Claire.AI",
WhatsApp Campaign,CINNOX's broadcast messaging feature lets you send messages to target audiences worldwide via Whatsapp.,
WhatsApp Channel,A WhatsApp Business API linked to a CINNOX service. A CINNOX Staff member can handle messages from WhatsApp directly from their Workspace as omnichannel enquiries.,
WhatsApp Engagement (WhatsApp Outbound),A CINNOX feature that allows staff to initiate conversations with the target audience using the WhatsApp messaging platform.,
WhatsApp Engagement Allowlist,A list of Staff members who can use a WhatsApp Channel as their sender when sending outbound WhatsApp messages to the target audience.,
WhatsApp Template,A WhatsApp message template approved by Meta that the staff can use in their campaigns and responses to their WhatsApp leads and customers. CINNOX lets you sync your WhatsApp Messages Template from your 360dialog hub or Meta.,
Widget (Web Widget),"A widget is typically a small, embedded icon on a website or mobile application. Its purpose is to enable a visitor to initiate a live chat or call with a customer service representative or agent.",
Widget Appearance,The overall look and feel of the CINNOX Widget when installed on a website. CINNOX lets administrators change and customise the widget appearance to match their company's branding and corporate identity standards.,
Widget Language,The display language of the CINNOX Widget. CINNOX administrators can customise the Widget to display a different language when it detects that the user is using a browser with a different language setting.,
Workspace,"The core interface in the CINNOX Dashboard and App, where Staff members can perform their customer service and engagement tasks and internal communication.",
Zapier,This tool helps you automate repetitive tasks between two or more apps without code required. You can connect CINNOX and Zapier and create workflows for repetitive tasks.,
Zaps,"A Zap is a term in Zapier, an automated workflow that connects apps and services. One Zap includes a trigger and one or more actions.",
Zoom in and Zoom out,A CINNOX chat feature lets Staff members make the image appear much larger and nearer or smaller and farther away.,
PSTN (Public Switched Telephone Network),"Includes home landlines (PSTN), traditional office extensions, or public payphones.",公用交換電話網路
DTMF (Dual-tone multi-frequency signaling ),"Dual-Tone Multi-Frequency (DTMF) signaling is used between telephones and switching systems, most commonly for transmitting the called number during dialing. The invention of DTMF not only shortened dialing times but also expanded functionalities beyond simple dialing, such as Automated Attendant and Interactive Voice Response (IVR). Before DTMF became widespread, telephone systems used a series of intermittent pulses to transmit the called number, known as pulse dialing, which required manual intervention by operators for long-distance connections.",雙音多頻訊號
TF (Toll-free number ),,免付費電話
DID (Direct Inward Dialing),"Direct Inward Dialing (DID) technology allows businesses to request a sequence of telephone numbers and map specific numbers directly to an employee's phone or a particular device. When you purchase a ""Virtual Number"" (such as a local landline number from various countries) on the CINNOX platform, that number is a DID. This enables customers worldwide to dial a local number directly, connecting through the network to your CINNOX system to be answered by the designated personnel.",直接撥入
IDD (International Direct Dial),"International Direct Dialing (IDD) refers to the capability of dialing international calls directly from a mobile phone without the need for an operator or intermediary switch. With IDD, you can dial a specific access code followed by the country code and the recipient's phone number, connecting the call directly to the receiver in another country.",國際直撥電話
Virtual Number (VN),"Virtual phone numbers are not tied to any physical location or device. Calls to a virtual number can be routed to mobile devices, physical office phones, software-based ""softphones"" on computers, or even other telephone numbers.",虛擬電話號碼
SIP Trunk,SIP Trunking primarily targets internal enterprise equipment like IP phones; Off-net calls refer to dialing standard landlines or mobile phone numbers.,SIP 中繼連結
A2P (Application to Person),"Application-to-Person (A2P) messaging refers to communication between a business and an individual. It takes many forms, including advertisements and sales, financial services, information confirmation, booking details, appointment reminders, marketing messages, and administrative notifications.",
Caller ID (CLI),,
Web Real-Time Calling (WebRTC),An API that supports real-time voice or video conversations directly within a web browser.,網頁即時通訊